RequirementId;CaseId;DocumentId;PdfViewUrl;PdfOpenLinkSv;PdfOpenLinkEn;ProjectId;KravkallaTyp;Kravkategori;Kravsubkategori;KravtextCitat;TolkadKravtext;Kravniva;RattsligHanvisning;Tidsfrist;Kontrollfrekvens;SanktionEllerKonsekvens;UtlosandeVillkor;Avfallsslag;EWC;MaxMangdTon;MaxLagringstid;KopplingKonstruktion;KopplingLakvatten;KopplingKontrollprogram;KopplingRisk;Mallavsnitt;KommunBlankettFalt;BilagaSomStods;MinimikravJaNej;KommunspecifiktJaNej;StatusIAnmalan;Kommentar;Kodningssakerhet;Verifieringsstatus;VerifieradJaNej;VerifieradAv;VerifieradDatum;Feltyp;ValideringsKommentar
KRAV-AUTO-000159;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087A59F0000;cmm4yur5z047wcuqwz6szyfhk;http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;Ytkonstruktion;Tat yta;Lagring av flytande kemiska produkter och farligt avfall ska ske nederbördsskyddat i tät invallning.;Lagring av flytande kemiska produkter och farligt avfall ska ske nederbördsskyddat i tät invallning.;SKA;;;Arlig;;Vid mellanlagring av avfall;;559088;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000160;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087A59F0000;cmm4yur5z047wcuqwz6szyfhk;http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;Ytkonstruktion;Tat yta;Invallningen ska rymma största behållarens volym plus 10 % av resterande behållares volym.;Invallningen ska rymma största behållarens volym plus 10 % av resterande behållares volym.;SKA;;;;;Vid mellanlagring av avfall;;559088;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000161;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087A59F0000;cmm4yur5z047wcuqwz6szyfhk;http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yur5z047wcuqwz6szyfhk/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;5 § innebär att råvaror och energi ska användas så effektivt som möjligt så att förbrukningen och avfallet minimeras: Det som utvinns ur naturen ska återanvändas, återvinnas eller bortskaffas på ett miljöriktigt sätt.;5 § innebär att råvaror och energi ska användas så effektivt som möjligt så att förbrukningen och avfallet minimeras: Det som utvinns ur naturen ska återanvändas, återvinnas eller bortskaffas på ett miljöriktigt sätt.;SKA;;;;;Alltid;;559088;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000162;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE3A0000;cmm4yupya032zcuqwg8dfhwi7;http://localhost:8787/api/admin/requirements/documents/cmm4yupya032zcuqwg8dfhwi7/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupya032zcuqwg8dfhwi7/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupya032zcuqwg8dfhwi7/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Zonen utgör i stället en varningssignal och påminnelse om att iaktta särskild försiktighet och att omedelbart rapportera risk för vattenförorening med skadlig påverkan på vattenkvaliteten.;Zonen utgör i stället en varningssignal och påminnelse om att iaktta särskild försiktighet och att omedelbart rapportera risk för vattenförorening med skadlig påverkan på vattenkvaliteten.;SKA;;;;;Vid nederbord och avrinning;;;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000163;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE3A0000;cmm4yupxq032hcuqwpnrsoo68;http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;LagringsvolymTid;Maxmangd;Uppskattning av använda mängder kan göras när projektet närmas sig sitt slut.;Uppskattning av använda mängder kan göras när projektet närmas sig sitt slut.;SKA;;;;;Alltid;;200617;;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000164;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE3A0000;cmm4yupxq032hcuqwpnrsoo68;http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Avfall och farligt avfall Skulle misstänkt förorenade massor upptäckas ska detta omedelbart anmälas till VD.;Avfall och farligt avfall Skulle misstänkt förorenade massor upptäckas ska detta omedelbart anmälas till VD.;SKA;;;Arlig;;Alltid;;200617;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000165;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE3A0000;cmm4yupxq032hcuqwpnrsoo68;http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupxq032hcuqwpnrsoo68/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;Riskhantering;Riskkontroll;Val och hantering av material och kemiska produkter Lagring av kemikalier ska ske brandsäkert samt utom räckhåll för obehöriga.;Val och hantering av material och kemiska produkter Lagring av kemikalier ska ske brandsäkert samt utom räckhåll för obehöriga.;SKA;;;;;Vid risk for incident;;200617;;;Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000166;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE450000;cmm4yupwf031ecuqwcuwsaack;http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;Farligt avfall skall ej mellanlagras på området utan det skall omgående skickas på deponi.;Farligt avfall skall ej mellanlagras på området utan det skall omgående skickas på deponi.;SKA;FMH;;Arlig;;Alltid;;212000;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000167;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE450000;cmm4yupwf031ecuqwcuwsaack;http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Ej aktuellt 3(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handling: 1777952 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Energiförbrukning Redogör för energi som används i verksamheten (fjärrvärme, biobränsle, olja, el, värmepump eller annat) Energislag Användning (uppvärmning, produktion, transporter m.m.) Uppskattad mängd/år Ej aktuellt Utsläpp till vatten Redogör för utsläpp av avloppsvatten, processvatten och dagvatten.;Ej aktuellt 3(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handling: 1777952 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Energiförbrukning Redogör för energi som används i verksamheten (fjärrvärme, biobränsle, olja, el, värmepump eller annat) Energislag Användning (uppvärmning, produktion, transporter m.m.) Uppskattad;SKA;FMH;2023-06-09;;;Vid nederbord och avrinning;;212000;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000168;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE450000;cmm4yupwf031ecuqwcuwsaack;http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupwf031ecuqwcuwsaack/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;LagringsvolymTid;Maxmangd;Motorbuller från transportfordon Farligt avfall Beskriv farligt avfall som uppkommer i verksamheten Avfallstyp Avfallskod (enligt avfalls- förordningen 2011:927) Mängd/år Transportör Mottagare Bitumenblandningar som innehåller stenkolstjära 17 03 01 0 Extern entreprenör 4(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handling: 1777952 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Hur förvaras avfallet i väntan på borttransport?;Motorbuller från transportfordon Farligt avfall Beskriv farligt avfall som uppkommer i verksamheten Avfallstyp Avfallskod (enligt avfalls- förordningen 2011:927) Mängd/år Transportör Mottagare Bitumenblandningar som innehåller stenkolstjära 17 03 01 0 Extern entreprenör 4(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handl;BOR;FMH;2023-06-09;Arlig;;Alltid;;17 03 01;;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000169;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE460000;cmm4yupvw030wcuqwlg1cpc8c;http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;Inget farligt avfall skall mellanlagras på området utan det skall omgående skickas på deponi.;Inget farligt avfall skall mellanlagras på området utan det skall omgående skickas på deponi.;SKA;FMH;;Arlig;;Alltid;;606209;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000170;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE460000;cmm4yupvw030wcuqwlg1cpc8c;http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Ej aktuellt 3(7) Ankom: 2023-08-17 Ärende: MIL.2023.284 Handling: 1779544 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Energiförbrukning Redogör för energi som används i verksamheten (fjärrvärme, biobränsle, olja, el, värmepump eller annat) Energislag Användning (uppvärmning, produktion, transporter m.m.) Uppskattad mängd/år Ej aktuellt Utsläpp till vatten Redogör för utsläpp av avloppsvatten, processvatten och dagvatten.;Ej aktuellt 3(7) Ankom: 2023-08-17 Ärende: MIL.2023.284 Handling: 1779544 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Energiförbrukning Redogör för energi som används i verksamheten (fjärrvärme, biobränsle, olja, el, värmepump eller annat) Energislag Användning (uppvärmning, produktion, transporter m.m.) Uppskattad;SKA;FMH;2023-08-17;;;Vid nederbord och avrinning;;606209;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000171;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE460000;cmm4yupvw030wcuqwlg1cpc8c;http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvw030wcuqwlg1cpc8c/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;LagringsvolymTid;Maxmangd;4(7) Ankom: 2023-08-17 Ärende: MIL.2023.284 Handling: 1779544 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Farligt avfall Beskriv farligt avfall som uppkommer i verksamheten Avfallstyp Avfallskod (enligt avfalls- förordningen 2011:927) Mängd/år Transportör Mottagare Hur förvaras avfallet i väntan på borttransport?;4(7) Ankom: 2023-08-17 Ärende: MIL.2023.284 Handling: 1779544 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Farligt avfall Beskriv farligt avfall som uppkommer i verksamheten Avfallstyp Avfallskod (enligt avfalls- förordningen 2011:927) Mängd/år Transportör Mottagare Hur förvaras avfallet i väntan på borttransport?;BOR;FMH;2023-08-17;Arlig;;Alltid;;606209;;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000172;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE460000;cmm4yupvt030tcuqwrkkxc019;http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;Farligt avfall skall ej mellanlagras på området utan det skall omgående skickas på deponi.;Farligt avfall skall ej mellanlagras på området utan det skall omgående skickas på deponi.;SKA;FMH;;Arlig;;Alltid;;212000;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000173;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE460000;cmm4yupvt030tcuqwrkkxc019;http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Ej aktuellt 3(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handling: 1777952 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Energiförbrukning Redogör för energi som används i verksamheten (fjärrvärme, biobränsle, olja, el, värmepump eller annat) Energislag Användning (uppvärmning, produktion, transporter m.m.) Uppskattad mängd/år Ej aktuellt Utsläpp till vatten Redogör för utsläpp av avloppsvatten, processvatten och dagvatten.;Ej aktuellt 3(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handling: 1777952 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Energiförbrukning Redogör för energi som används i verksamheten (fjärrvärme, biobränsle, olja, el, värmepump eller annat) Energislag Användning (uppvärmning, produktion, transporter m.m.) Uppskattad;SKA;FMH;2023-06-09;;;Vid nederbord och avrinning;;212000;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000174;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE460000;cmm4yupvt030tcuqwrkkxc019;http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvt030tcuqwrkkxc019/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;LagringsvolymTid;Maxmangd;Motorbuller från transportfordon Farligt avfall Beskriv farligt avfall som uppkommer i verksamheten Avfallstyp Avfallskod (enligt avfalls- förordningen 2011:927) Mängd/år Transportör Mottagare Bitumenblandningar som innehåller stenkolstjära 17 03 01 0 Extern entreprenör 4(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handling: 1777952 TIDAHOLMS KOMMUN Samhällsbyggnadsförvaltningen Hur förvaras avfallet i väntan på borttransport?;Motorbuller från transportfordon Farligt avfall Beskriv farligt avfall som uppkommer i verksamheten Avfallstyp Avfallskod (enligt avfalls- förordningen 2011:927) Mängd/år Transportör Mottagare Bitumenblandningar som innehåller stenkolstjära 17 03 01 0 Extern entreprenör 4(6) Ankom: 2023-06-09 Ärende: MIL.2023.284 Handl;BOR;FMH;2023-06-09;Arlig;;Alltid;;17 03 01;;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000175;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087A5DC0000;cmm4yuqnj03rhcuqw5kt2masi;http://localhost:8787/api/admin/requirements/documents/cmm4yuqnj03rhcuqw5kt2masi/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yuqnj03rhcuqw5kt2masi/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yuqnj03rhcuqw5kt2masi/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;De jordmassorna som innehåller parkslide ska deponeras på Vankiva avfallsanläggning.;De jordmassorna som innehåller parkslide ska deponeras på Vankiva avfallsanläggning.;SKA;;;;;Alltid;;26 70 00;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000176;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE4B0000;cmm4yupvf030ecuqwvyai5yx8;http://localhost:8787/api/admin/requirements/documents/cmm4yupvf030ecuqwvyai5yx8/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvf030ecuqwvyai5yx8/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvf030ecuqwvyai5yx8/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DriftEgenkontroll;Journalforing;Statistik för hanterade avfallsmängder sammanställs i årsrapporten, liksom uppfyllande av försiktighetsmått och annan relevant information:  Administrativa uppgifter  Verksamhetsbeskrivning o Drift under perioden o Förändringar i verksamheten som är av betydelse för miljön  Driftstörningar under året  Förändringar i kontrollprogrammet  Uppfyllande av försiktighetsmått som framgår av kommande föreläggande  Hanterade avfallsmängder o Ursprung, återvinningsmetod, mängd, slutförvaring etc All dokumentation ska sparas och hållas tillgängliga för tillsynsmyndigheten.;Statistik för hanterade avfallsmängder sammanställs i årsrapporten, liksom uppfyllande av försiktighetsmått och annan relevant information:  Administrativa uppgifter  Verksamhetsbeskrivning o Drift under perioden o Förändringar i verksamheten som är av betydelse för miljön  Driftstörningar under året  Förändringar;SKA;;;;Forelaggande vid brist;Lopande drift;;;;;Nej;Nej;Ja;Nej;7;Egenkontrollrutiner;Egenkontrollprogram;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;LOW;AUTO;Nej;;;;
KRAV-AUTO-000177;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE4B0000;cmm4yupvf030ecuqwvyai5yx8;http://localhost:8787/api/admin/requirements/documents/cmm4yupvf030ecuqwvyai5yx8/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvf030ecuqwvyai5yx8/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yupvf030ecuqwvyai5yx8/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Flytande kemiska produkter inklusive petroleumprodukter förvaras i ADR-klassade tankar, alternativt i tankar på ogenomsläpplig invallad yta eller i tråg som rymmer hela vätskemängden.;Flytande kemiska produkter inklusive petroleumprodukter förvaras i ADR-klassade tankar, alternativt i tankar på ogenomsläpplig invallad yta eller i tråg som rymmer hela vätskemängden.;SKA;;;;;Vid mellanlagring av avfall;;;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;LOW;AUTO;Nej;;;;
