RequirementId;CaseId;DocumentId;ProjectId;KravkallaTyp;Kravkategori;Kravsubkategori;KravtextCitat;TolkadKravtext;Kravniva;RattsligHanvisning;Tidsfrist;Kontrollfrekvens;SanktionEllerKonsekvens;UtlosandeVillkor;Avfallsslag;EWC;MaxMangdTon;MaxLagringstid;KopplingKonstruktion;KopplingLakvatten;KopplingKontrollprogram;KopplingRisk;Mallavsnitt;KommunBlankettFalt;BilagaSomStods;MinimikravJaNej;KommunspecifiktJaNej;StatusIAnmalan;Kommentar;Kodningssakerhet;Verifieringsstatus;VerifieradJaNej;VerifieradAv;VerifieradDatum;Feltyp;ValideringsKommentar
KRAV-AUTO-000028;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx40058cuqwxcca97de;cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Från dammen rinner en del dagvatten in i skogsområdet och en del pumpar kommunen bort österut till recipient.;Från dammen rinner en del dagvatten in i skogsområdet och en del pumpar kommunen bort österut till recipient.;BOR;;;;;Vid nederbord och avrinning;;;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000029;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx40058cuqwxcca97de;cmm55w57p0004cuisfrtpqly8;Informationskrav;Riskhantering;Riskkontroll;För att minska risk för brand och minska konsekvenserna om en brand ändå uppkommer iakttas en rad skyddsåtgärder.;För att minska risk för brand och minska konsekvenserna om en brand ändå uppkommer iakttas en rad skyddsåtgärder.;SKA;;;;;Vid risk for incident;;;;;Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000030;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx40058cuqwxcca97de;cmm55w57p0004cuisfrtpqly8;Informationskrav;Riskhantering;Riskkontroll;Avfallet kommer endast att utgöras av icke farligt avfall och genom att så snart som möjligt och minst varje dag omlasta avfallet till flak så minskar risken för påverkan på dagvattnet.;Avfallet kommer endast att utgöras av icke farligt avfall och genom att så snart som möjligt och minst varje dag omlasta avfallet till flak så minskar risken för påverkan på dagvattnet.;SKA;;;Arlig;;Vid risk for incident;;;;;Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000031;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyo006wcuqw982eyyr8;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;LagringsvolymTid;Maxmangd;Mängden icke-farligt avfall som yrkesmässigt återvinns genom mekanisk bearbetning i verksamheten och som ska användas för byggnads- och anläggningsändamål får vara högst 20 000 ton per år.;Mängden icke-farligt avfall som yrkesmässigt återvinns genom mekanisk bearbetning i verksamheten och som ska användas för byggnads- och anläggningsändamål får vara högst 20 000 ton per år.;SKA;;;Arlig;;Alltid;;88 63 89;000;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000032;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyo006wcuqw982eyyr8;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;LagringsvolymTid;Maxmangd;Mängden icke-farligt avfall som yrkesmässigt återvinns genom mekanisk bearbetning i verksamheten och som inte ska användas för byggnads- och anläggningsändamål får vara högst 10 000 ton per år.;Mängden icke-farligt avfall som yrkesmässigt återvinns genom mekanisk bearbetning i verksamheten och som inte ska användas för byggnads- och anläggningsändamål får vara högst 10 000 ton per år.;SKA;;;Arlig;;Alltid;;88 63 89;000;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000033;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyo006wcuqw982eyyr8;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Enligt 27a § förordning om miljöfarlig verksamhet och hälsoskydd ska ett föreläggande om försiktighetsmått till en verksamhet som behandlar avfall innehålla uppgifter om bland annat vilka typer, mänger och metoder för behandling av avfallet som får förekomma.;Enligt 27a § förordning om miljöfarlig verksamhet och hälsoskydd ska ett föreläggande om försiktighetsmått till en verksamhet som behandlar avfall innehålla uppgifter om bland annat vilka typer, mänger och metoder för behandling av avfallet som får förekomma.;SKA;FMH;;Arlig;Forelaggande vid brist;Alltid;;88 63 89;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;HIGH;AUTO;Nej;;;;
KRAV-AUTO-000034;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyl006tcuqwb0tvwtrm;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Avfallet ska vara borttaget senast fyra månader efter att det här beslutet vunnit laga kraft.;Avfallet ska vara borttaget senast fyra månader efter att det här beslutet vunnit laga kraft.;SKA;;senast fyra manader efter att det har;Manadskontroll;;Alltid;;88 63 89;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000035;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyl006tcuqwb0tvwtrm;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Senast tre veckor efter att allt avfall på fastigheten Hanarp 1:4 har tagits bort ska en skriftlig redovisning lämnas in till miljö- och hälsoskyddsförvaltningen.;Senast tre veckor efter att allt avfall på fastigheten Hanarp 1:4 har tagits bort ska en skriftlig redovisning lämnas in till miljö- och hälsoskyddsförvaltningen.;SKA;;senast tre veckor efter att allt avfa;;;Alltid;;88 63 89;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000036;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyl006tcuqwb0tvwtrm;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;En upplagsplats för avfall som lagras i mer än tre år innan det återvinns eller i mer än ett år innan det bortskaffas är att betrakta som en deponi enligt 15 kap 5 a § i miljöbalken (1998:808).;En upplagsplats för avfall som lagras i mer än tre år innan det återvinns eller i mer än ett år innan det bortskaffas är att betrakta som en deponi enligt 15 kap 5 a § i miljöbalken (1998:808).;SKA;Miljobalken;;;;Alltid;;88 63 89;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;HIGH;AUTO;Nej;;;;
KRAV-AUTO-000037;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx8005bcuqwwdi2vz6z;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;SKA;;;Arlig;;Vid mellanlagring av avfall;;05 2024;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000038;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx8005bcuqwwdi2vz6z;cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;Ordning och struktur skall råda i mellanlagringen av avfallet i den mån det är möjligt och rimligt.;Ordning och struktur skall råda i mellanlagringen av avfallet i den mån det är möjligt och rimligt.;SKA;;;;;Alltid;;05 2024;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000039;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumx8005bcuqwwdi2vz6z;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;SKA;;;;;Vid mellanlagring av avfall;;05 2024;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000040;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxd005hcuqwxsc6y5nv;cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;Västerviks kommun, Miljö- och byggnadskontoret, 593 80 Västervik, Besöksadress Lunnargatan 1 Växel 010-355 40 00, E-post: mbn@vastervik.se Webbplats: www.vastervik.se DELEGATIONSBESLUT Diarienummer 2024-06-11 2024-786 Beslutsnummer MILJÖ- OCH BYGGNADSKONTORET 2024-436 Handelshuset I Åtvidaberg AB Aga Rydströms Väg 3 59392 Västervik Lofta-Gröndalen 1:1 – Förbud att anmäld miljöfarlig verksamhet inte får påbörjas förrän miljö- och byggnadsnämnden fattat beslut i ärendet Beslut Miljö- och byggnadsnämnden beslutar att den anmälda miljöfarliga verksamheten, i form av anmälan om avfall för anläggningsändamål, på fastigheten Lofta-Gröndalen 1:1 tills vidare inte får påbörjas.;Västerviks kommun, Miljö- och byggnadskontoret, 593 80 Västervik, Besöksadress Lunnargatan 1 Växel 010-355 40 00, E-post: mbn@vastervik.se Webbplats: www.vastervik.se DELEGATIONSBESLUT Diarienummer 2024-06-11 2024-786 Beslutsnummer MILJÖ- OCH BYGGNADSKONTORET 2024-436 Handelshuset I Åtvidaberg AB Aga Rydströms Väg 3 59;BOR;FMH;2024-06-11;Arlig;Forbud;Alltid;;11 2024;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;HIGH;AUTO;Nej;;;;
KRAV-AUTO-000041;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvp003zcuqwqxlxa6rl;cmm55w57p0004cuisfrtpqly8;Informationskrav;Riskhantering;Riskkontroll;Förvaring ska ske utan tillgång för obehöriga, utan risk för påkörning och skyddat från nederbörd.;Förvaring ska ske utan tillgång för obehöriga, utan risk för påkörning och skyddat från nederbörd.;SKA;FMH;;;;Vid risk for incident;;556469;;;Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;HIGH;AUTO;Nej;;;;
KRAV-AUTO-000042;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvp003zcuqwqxlxa6rl;cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Dagvatten från verksamheten ska hanteras på ett sådant sätt att det inte uppstår föroreningar, på omgivningen.;Dagvatten från verksamheten ska hanteras på ett sådant sätt att det inte uppstår föroreningar, på omgivningen.;SKA;FMH;;;;Vid nederbord och avrinning;;556469;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;HIGH;AUTO;Nej;;;;
KRAV-AUTO-000043;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvp003zcuqwqxlxa6rl;cmm55w57p0004cuisfrtpqly8;Informationskrav;Riskhantering;Riskkontroll;6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;6 § Verksamhetsutövaren skall fortlöpande och systematiskt undersöka och bedöma riskerna med verksamheten från hälso- och miljösynpunkt.;SKA;FMH;;Lopande;;Vid risk for incident;;556469;;;Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;HIGH;AUTO;Nej;;;;
KRAV-AUTO-000044;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyh006ncuqwgc3rsm71;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Avfallet ska vara borttaget senast två månader efter att det här beslutet vunnit laga kraft.;Avfallet ska vara borttaget senast två månader efter att det här beslutet vunnit laga kraft.;SKA;;senast tva manader efter att det har;Manadskontroll;;Alltid;;88 63 89;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000045;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyh006ncuqwgc3rsm71;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Hanarp 1:4 Postadress Falkenbergs kommun Miljö- och hälsoskyddsnämnden 311 80 Falkenberg Besöksadress Stadshuset, Kuben Rådhustorget 3C Telefon 0346-88 60 00 E-post miljo.halsa@falkenberg.se Hemsida kommun.falkenberg.se En upplagsplats för avfall som lagras i mer än tre år innan det återvinns eller i mer än ett år innan det bortskaffas är att betrakta som en deponi enligt 15 kap 5 a § i miljöbalken.;Hanarp 1:4 Postadress Falkenbergs kommun Miljö- och hälsoskyddsnämnden 311 80 Falkenberg Besöksadress Stadshuset, Kuben Rådhustorget 3C Telefon 0346-88 60 00 E-post miljo.halsa@falkenberg.se Hemsida kommun.falkenberg.se En upplagsplats för avfall som lagras i mer än tre år innan det återvinns eller i mer än ett år inna;SKA;Miljobalken;;;;Alltid;;88 60 00;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;HIGH;AUTO;Nej;;;;
KRAV-AUTO-000046;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyh006ncuqwgc3rsm71;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;LagringsvolymTid;Maxmangd;Se till att allt avfall (se bilaga 2), i form av sten, betong, asfalt och grenar, som finns på gårdsplanen på fastigheten Hanarp 1:4 tas bort.;Se till att allt avfall (se bilaga 2), i form av sten, betong, asfalt och grenar, som finns på gårdsplanen på fastigheten Hanarp 1:4 tas bort.;BOR;;;;;Alltid;;88 63 89;;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000047;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy5006bcuqwtam8nvjw;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Deponin skall enligt delegationsbeslut 14/2011 (Salems kommun 2011-09-07) ha en provtagningsplan för kontroll av lakvatten.;Deponin skall enligt delegationsbeslut 14/2011 (Salems kommun 2011-09-07) ha en provtagningsplan för kontroll av lakvatten.;SKA;;2011-09-07;;;Vid nederbord och avrinning;;556555;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000048;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy5006bcuqwtam8nvjw;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2023-04140428 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2023-04-14 06:04 8 2023-04-13 11:30 Roger Huononen Provet ankom: Lakvatten Matris: 2023-04-14 Utskriftsdatum: 2023-04-25 Provmärkning: Deponi 1:301 Analys Resultat Enhet Metod/ref Mäto.;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2023-04140428 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2023-04-14 06:04 8 2023-04-13 11:30 Roger Huononen Provet ankom: Lakvatten Matris: 2023-0;BOR;;2023-04-14;;;Vid nederbord och avrinning;;556555;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000049;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy5006bcuqwtam8nvjw;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2023-10131151 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2023-10-13 11:00 7 2023-10-12 10:10 Roger Huononen Provet ankom: Lakvatten Matris: 2023-10-13 Utskriftsdatum: 2023-10-24 Provmärkning: Deponi 1:301 Analys Resultat Enhet Metod/ref Mäto.;Salem Deponi 1:301 Yoldia Consulting AB Roger Huononen Tallhedsvägen 6 141 42 HUDDINGE Kundnummer: SL8893174 Provbeskrivning: 177-2023-10131151 Provnummer: Kemisk analys påbörjad Ankomsttemp °C Kem Provtagningsdatum** Provtagare** 2023-10-13 11:00 7 2023-10-12 10:10 Roger Huononen Provet ankom: Lakvatten Matris: 2023-1;BOR;;2023-10-13;;;Vid nederbord och avrinning;;556555;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000050;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw9004hcuqw61waiecf;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;Flytande råvaror, kemikalier och farligt avfall ska förvaras under tak inom invallning.;SKA;;;Arlig;;Vid mellanlagring av avfall;;05 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000051;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw9004hcuqw61waiecf;cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;Invallningen ska vara beständig mot det som förvaras däri och rymma största kärlets volym plus 10 % av övriga kärls volym.;SKA;;;;;Vid mellanlagring av avfall;;05 2025;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000052;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw9004hcuqw61waiecf;cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;• Uppkomst av avfall ska i första hand förebyggas.;• Uppkomst av avfall ska i första hand förebyggas.;SKA;;;;;Alltid;;05 2025;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000053;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvl003wcuqwuzlxnesd;cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;MiljopaverkanForsiktighet;Skyddsatgarder;Kirveskarivägen 96 953 92 Haparanda Org nr 556469-0187 Kontakt: Krister Asplund krister@asplundslast.se 0705221401 Från: Natalie Öman <Natalie.Oman@haparanda.se> Skickat: fredag, november 28, 2025 1:45 em Till: Krister Asplund <krister@asplundslast.se> Kopia: Mia Jakobsson <Miia.Jakobsson@haparanda.se> Ämne: Sv: Avfallskoder Förstår.;Kirveskarivägen 96 953 92 Haparanda Org nr 556469-0187 Kontakt: Krister Asplund krister@asplundslast.se 0705221401 Från: Natalie Öman <Natalie.Oman@haparanda.se> Skickat: fredag, november 28, 2025 1:45 em Till: Krister Asplund <krister@asplundslast.se> Kopia: Mia Jakobsson <Miia.Jakobsson@haparanda.se> Ämne: Sv: Avfall;SKA;;;;;Alltid;;556469;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
